,id,lai,wetness,treeSpecies,Sentinel_2A_B2,Sentinel_2A_B3,Sentinel_2A_B4,Sentinel_2A_B5,Sentinel_2A_B6,Sentinel_2A_B7,Sentinel_2A_B8,Sentinel_2A_B8a,Sentinel_2A_B11,Sentinel_2A_B12
95,95,4.5,0.45,predominantly_beech,0.034324156816206396,0.12507340438901063,0.038079648303351275,0.17765835623114726,0.450457751756752,0.5043736596685928,0.5083611225113525,0.5095956972844454,0.24240623025942706,0.09948803756296817
96,96,3.3,0.76,predominantly_beech,0.037178514974149646,0.12801267927893234,0.04019746227459929,0.18142658648075763,0.44534946003340864,0.49674944514277963,0.5025202103730015,0.5045653134814267,0.2509073598433768,0.10545772436884807
97,97,4.8,0.83,predominantly_oak,0.03217210692171942,0.11246005601687697,0.03339985264952659,0.1638290147778139,0.43487404012962494,0.4924691464458456,0.4987912805457738,0.5010268531425143,0.24067428505039493,0.0960572267229469
98,98,4.3,0.58,predominantly_pine,0.02767306216813994,0.09641136215609768,0.027736343612494097,0.14440269186859275,0.43374823585728717,0.5008965490714444,0.5066877697254556,0.508651936531643,0.2399307372496759,0.09570611169979797
99,99,3.3,0.85,mixed,0.03439351219860888,0.12104907064420382,0.036630765034938055,0.17279517094103772,0.4503144513791673,0.5055609501076888,0.5098144877284558,0.5112588722385024,0.2550385454656754,0.10748549104826523
100,100,1.9,0.61,predominantly_oak,0.036959697340456774,0.1213692828591032,0.04044978093727148,0.17303361271930745,0.4062404984354433,0.44712856314376154,0.45293045529324444,0.45513310352655045,0.25154320336780733,0.10740354721193895
101,101,6.3,0.59,mixed,0.03827852570080258,0.12725823689376828,0.03957098798723273,0.1798108025357242,0.4410108147436434,0.49267167888649877,0.4972422600288688,0.4986789080469623,0.22590002766118755,0.08927874410940284
102,102,2.4,0.47,mixed,0.03101186441592669,0.1080531767492517,0.03290809586764887,0.15794497470102703,0.4124267877872968,0.4607320816673873,0.46607439792399896,0.4679823490680269,0.24220160293025977,0.09921234372122797
103,103,3.2,0.13,oak,0.0390182436760076,0.13358085214962984,0.043093272466063585,0.18685938253438988,0.4169683601169181,0.45601089804473777,0.4606887507538002,0.4622695821492475,0.2255988022588893,0.08857568666196641
104,104,2.3,0.09,predominantly_oak,0.033513337616398756,0.10957865652071577,0.03324612404284418,0.15845193209021396,0.3871110548737337,0.42646206564821143,0.4307292450941057,0.4321438332782632,0.2153507274595296,0.08280937081859996
105,105,3.9,0.44,predominantly_oak,0.03567252448213876,0.1226376293902621,0.03760903178884188,0.17507594466567816,0.4374750527587005,0.48872362554870297,0.4938489254566058,0.49555851338931645,0.23475207800419876,0.09441975008095861
106,106,2.5,0.78,mixed,0.03357411172307181,0.11661670059481113,0.036180563532763554,0.16909431826730403,0.4287294151875054,0.4793059352379377,0.4861965553899303,0.4887958443474819,0.25660941927815895,0.10729433114653002
107,107,2.3,0.72,predominantly_oak,0.035551093313137765,0.12209085567132864,0.03860461620900499,0.17467309548602122,0.41813616259911307,0.4606283715762096,0.46590614058905694,0.4678501360487537,0.23974724091095112,0.0966507535871435
108,108,2.4,0.61,predominantly_oak,0.03241281592285329,0.1056905342434868,0.0326309596119736,0.15485837716459463,0.41484552427019916,0.4669824306024075,0.47303645329817795,0.47527523441178005,0.2505627233326662,0.10488395665372219
